time	zera	jedynki
809	135208	127961
810	135154	128015
811	135205	127964
812	135174	127995
813	135185	127984
814	135167	128002
815	135214	127955
816	135153	128016
817	135226	127943
818	135186	127983
819	135210	127959
820	135189	127980
821	135221	127948
822	135172	127997
823	135210	127959
824	135166	128003
825	135207	127962
826	135204	127965
827	135215	127954
828	135152	128017
829	135253	127916
830	135193	127976
831	135199	127970
832	135167	128002
833	135245	127924
834	135103	128066
835	135262	127907
836	135147	128022
837	135229	127940
838	135161	128008
839	135197	127972
840	135151	128018
841	135243	127926
842	135162	128007
843	135194	127975
844	135199	127970
845	135200	127969
846	135176	127993
847	135213	127956
848	135180	127989
849	135202	127967
850	135166	128003
851	135199	127970
852	135143	128026
853	135269	127900
854	135177	127992
855	135183	127986
856	135167	128002
857	135197	127972
858	135161	128008
859	135192	127977
860	135094	128075
861	135196	127973
862	135166	128003
863	135189	127980
864	135129	128040
865	135235	127934
866	135142	128027
867	135167	128002
868	135175	127994
869	135185	127984
870	135165	128004
871	135237	127932
872	135154	128015
873	135172	127997
874	135206	127963
875	135178	127991
876	135166	128003
877	135262	127907
878	135157	128012
879	135182	127987
880	135180	127989
881	135191	127978
882	135154	128015
883	135193	127976
884	135132	128037
885	135201	127968
886	135155	128014
887	135174	127995
888	135144	128025
889	135212	127957
890	135174	127995
891	135157	128012
892	135193	127976
893	135182	127987
894	135138	128031
895	135213	127956
896	135107	128062
897	135210	127959
898	135144	128025
899	135204	127965
900	135133	128036
901	135214	127955
902	135145	128024
903	135203	127966
904	135128	128041
905	135189	127980
906	135148	128021
907	135194	127975
908	135152	128017
909	135178	127991
910	135144	128025
911	135164	128005
912	135102	128067
913	135234	127935
914	135119	128050
915	135161	128008
916	135162	128007
917	135198	127971
918	135155	128014
919	135188	127981
920	135175	127994
921	135214	127955
922	135136	128033
923	135167	128002
924	135128	128041
925	135228	127941
926	135119	128050
927	135152	128017
928	135158	128011
929	135154	128015
930	135125	128044
931	135183	127986
932	135134	128035
933	135151	128018
934	135166	128003
935	135146	128023
936	135133	128036
937	135204	127965
938	135108	128061
939	135154	128015
940	135103	128066
941	135166	128003
942	135123	128046
943	135158	128011
944	135084	128085
945	135160	128009
946	135132	128037
947	135131	128038
948	135083	128086
949	135171	127998
950	135109	128060
951	135104	128065
952	135123	128046
953	135141	128028
